,content,like_count,comment_count,date
51,"Get ready for Snowflake's #datacloudsummit2020 today with episode #18 of #RiseoftheDataCloud podcast featuring Slalom President Tony Rojas: https://bit.ly/3lyC9WU
Activate link to view larger image.
",20,0,1mo •
52,"Check out this amazing work from one of our Hack For Social Good #Hackathon winners, Team PetChain Pals. In partnership with Best Friends Animal Society, Team PetChain Pals leveraged Amazon Web Services (AWS) technology to build a PetChain pilot and Return to Owner app, integrating lost and found pet information. And remember to attend to see more of our innovative work with . Get a sneak peek here:
…see more
Team PetChain Palls
youtube.com
",9,0,1mo •
53,"In business, “culture” tends to focus on what makes an organization or team tick, but our understanding needs to be broader. NEW on the Slowdown, Karl Ostroski and Alice Leong share insights on how we can turn down the volume on being ""right"" so we can lean into our abilities to empathize, understand, and collaborate:
…see more
Loaded:
Play
Back to start of video
Current time 
0:00
/
Duration 
0:06
 Unmute
Turn fullscreen on
Widening Our Lens: Considering Culture
",22,3,
54,"Please join us in welcoming Iesha (O'Deneal) Berry (She/Her/Hers) Berry! Slalom’s first Chief Inclusion and Diversity Officer talks about navigating tough conversations, fulfilling her purpose, and creating space for people to self-reflect and grow. Read her Q&A here: https://slalom.ws/3ngTSCu
…see more
Q&A with Iesha Berry: Chief Inclusion and Diversity Officer
slalom.com • 6 min read
",269,14,
55,"Lesley L., system integration and cloud enablement consultant at Slalom, will be speaking at Northwestern Mutual's #WomenInTech conference! Her session, Infrastructure as Code (IaC), will reveal a faster way that #DevOps can manage all infrastructure configurations while simplifying development, testing, and provisioning of infrastructure across the cloud. Save your spot here:
…see more
2020 Virtual WIT Conference
events.nmfn.com
",21,0,
56,"Join Slalom for a game-changing look at coaching and leadership. We’ll hear from legendary coaches like Jill Ellis, former coach of the US Women’s National Soccer Team who led the team to two consecutive World Cup wins in 2015 and 2019. Learn how you can build your own coaching habits to fuel connection and growth, even in extraordinary times:
…see more
Join us November 18 for Slalom Presents
go.slalom.com • 1 min read
",10,0,1mo •
57,"Excited to announce that we're #3 on the list! Thank you to all our employees for making Slalom one of the best firms to work for in 2020. See the other winners here: https://bit.ly/32Clydm
Play
Slalom recognized as a 2020 Best Firm to Work For
",247,7,1mo •
58,"On a scale from cloud curious to cloud disruptor, where does your organization land? Get ready for #reInvent by answering four simple questions to assess where you are in your journey. And if you need an incentive, there's a prize—something that will jazz up your work-from-home routine. Take the quiz here:
…see more
Loaded:
Play
Back to start of video
Current time 
0:00
/
Duration 
0:06
 Unmute
Turn fullscreen on
Get Unstuck with Launch Centers
",9,0,1mo •
59,"“The more unqualified you feel, the more there is to learn! If you stay curious and work hard, success will follow,” says Carina Martin, program manager in Slalom Seattle who was recently recognized by the Learning conference as a 2020 Thirty under 30. She praises the fun and compassionate Slalom community, especially her mentors , , and for supporting her career growth and well-being. We’re grateful and proud our culture has been recognized by Fortune as a 2020 Best Workplace for Women.
…see more
Activate link to view larger image.
",48,4,1mo •
60,"You know what they say about #cloud migration: “You can take the IT team out of the data center…” But if you really want your cloud migration to lead to true #digitaltransformation, your organization needs to invite its people along on the cloud journey—and then help them get there. In Harvard Business Review, learn how to support and uplift your teams with a modern culture of data:
…see more
How to Leverage the Cloud to Create a Modern Culture of Data
hbr.org • 4 min read
",16,0,1mo •
61,"If your data peak is feeling unreachable, let Slalom be your guide with our Modern Culture of Data framework. Catch our Industry Solutions Spotlight session next week to learn more—register here: https://bit.ly/35gA8ZG
Register for the session
snowflake.events.cube365.net • 1 min read
",14,0,1mo •
62,"Learn how we helped a pharma client get a life-saving drug on the shelf—within 48 hours of FDA approval: https://slalom.ws/35GOPEj
How to master your playbook
slalom.com • 3 min read
",26,0,1mo •
63,"Today, we're taking a moment to honor our veterans and their surrounding families and friends—thank you for making their service possible and their sacrifice worthwhile.

Resiliency and the ability to demonstrate leadership through challenging and stressful times aren’t new concepts for our veterans, and we're especially grateful for our amazing employees in times like these.

Slalom Veterans is our employee resource group that empowers veterans as they transition from active service to successful private-sector careers. Learn more about this community here:
…see more
Play
Slalom Honors Veterans and Remembrance Day
",60,0,1mo •
64,"Slalom interviewed 1,000 business decision-makers across multiple industries to see where organizations are at in their quest for fully #datadriven decision making. How does yours compare? Download the report to find out: https://slalom.ws/36kHOcD
4 key findings about data-driven culture
go.slalom.com • 1 min read
",15,0,1mo •
65,"Shweta Shidhore encourages her teams to get more comfortable being uncomfortable and to do things they don’t think they can do. We’re grateful to have humble, inspiring leaders like Shweta who've made Slalom one of Fortune's 2020’s Best Workplaces for Women.

Read her profile here:
…see more
Activate link to view larger image.
",41,5,1mo •
66,"Last year at #reInvent we announced AWS | Slalom Launch Centers, a unique partnership between Amazon Web Services (AWS) and Slalom designed to tackle the toughest technology challenges facing forward-looking companies today. While last year's announcement may be hard to top, we've got some exciting things planned this year. From hosting a live digital event on inclusion and diversity—with a pretty epic headliner!—to a disruptor quiz with prizes, join us Nov 30 - December 18. Register here:
…see more
Play
Get Unstuck with Launch Centers
",29,0,1mo •
67,"For the fourth year in a row, we've been named North America Partner of the Year by Dell Boomi! We're proud of this recognition but even more proud of how we help customers accelerate business outcomes.

Learn how we can help you unite your digital ecosystem to achieve better outcomes, faster:
…see more
Slalom.com/Boomi
slalom.com • 1 min read
",60,2,1mo •
68,"Learn how we helped a biopharmaceutical client deliver data capabilities 25% faster with Slalom's Agile principles and a modern culture of data: https://slalom.ws/3n4CXmJ
Get faster insights with Agile
slalom.com • 2 min read
",25,0,1mo •
69,"Lindsay Wenk, general manager in Slalom Austin, says that reading helps her be a better leader because, ""it surrounds me with fresh ideas, words, and meaningful characters that bring new perspectives and inspiration. It reminds me that as humans, we all have more in common than we realize.” Learn more about why Lindsay is energized by growing the Austin office in her Q&A:
…see more
Activate link to view larger image.
",30,3,1mo •
70,"In countries like Myanmar, Venezuela, Syria, and Niger, millions of people need urgent help, from access to food and safe water, to protection from violence. Slalom built a solution with the United Nations Emerging Technologies Lab that uses responsible #AI to help direct funds to humanitarian crises like these around the world. Read the full story here:
…see more
United Nations: Allocating humanitarian funds to those who need them most
slalom.com • 2 min read
",18,4,1mo •
71,"Hosted by award-winning ESPN anchor Hannah Storm, join us for Slalom Presents: Coaching through a Crisis. We’ll hear from legendary coaches on how you can build your own coaching habits to fuel connection and growth, even in extraordinary times. Learn more about the event here: https://slalom.ws/323A11y
…see more
Join us on November 18
go.slalom.com • 1 min read
",6,0,
